,Video title,Comment,Processed_Comment
66,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Copy kyu kartha vhai . App na kudha ka banaa . Bollywood hamesha dusre ka copy paste kartha hai,copy kyu kartha vhai app na kudha ka banaa bollywood hamesha dusre ka copy paste kartha hai
67,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Gorakhpur se kon kon hai 😊😊😊,gorakhpur se kon kon hai
68,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Himachal Pradesh se koun koun dekh Raha hai.😊,himachal pradesh se koun koun dekh raha hai
69,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",What a great movie... Everyone should watch this...❤❤❤,great movie everyone watch
70,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Pakistan nam bina koi vi movie hit nohi hota hee.but  why,pakistan nam bina koi vi movie hit nohi hota heebut
71,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Sidhe youtube pe 😂😂😂😂,sidhe youtube pe
72,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Topic dusura lena chahiye tha.,topic dusura lena chahiye tha
73,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Ghanta pasand nahi aya... Hamare India ke PM ko koi touch nahi kar sakta... Sale hero dekhane aaya hai sala...,ghanta pasand nahi aya hamare india ke pm ko koi touch nahi kar sakta sale hero dekhane aaya hai sala
74,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Hope they will make the part 2 of it soon,hope make part soon
75,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Animal movie full lavo ne mobile ma,animal movie full lavo ne mobile
76,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ranbir Kapoor Best romantic hero,ranbir kapoor best romantic hero
77,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Real hai but quality nhi hai,real hai quality nhi hai
78,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Sab ladies k comment he,sab lady k comment
79,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Nice movie,nice movie
80,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Esi family mil jaye bhagwan ji ❤,esi family mil jaye bhagwan ji
81,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",BHONU ❤❤AZAMGARH,bhonu azamgarh
82,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Everyone is saying they want family like this but when u get family like this then u ll say them they are taunting .,everyone saying want family like u get family like u say taunting
83,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor","Jo-jo yha Doctor nhi hai...Khane khane jaao...Best Line...Best of Bassi...At <a href=""https://www.youtube.com/watch?v=nSuJ5SPpQ2Y&amp;t=7238"">02:00:38</a> hrs....😂😂",jojo yha doctor nhi haikhane khane jaaobest linebest bassiat href hr
84,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Worst movie,worst movie
